caseid,reportedon,category,statuscode,casetype,Cops-Rops,sqlrequired,expclosedate,closedate,aging,currentowner,ConfigurationEffort[Hr],PM Effort [Hr],TestingEffort [Hr],TotalEffort [Hr],L1 Doc Approval,L2 Doc Approval,L3 Doc Approval,channel,details,subject
505998,06-02-2025,Configuration,Invalid,CR,CompanyOps,No,29-06-2025,06-05-2025,189 D,Lisha Gupta,0,,,,No,No,No,Email,Email Syndication,Email Syndication : RE: A new Case (ID: 503734) has been logged by Dylan P. Shiffer
506262,06-04-2025,Configuration,Invalid,CR,CompanyOps,No,29-06-2025,06-10-2025,187 D,Anubhav Gupta,0,,,,No,No,No,Email,Email Syndication,Email Syndication : Re: O BEE Feedback PO
502249,05-05-2025,Configuration,Resolved,CR,CompanyOps,No,,27-05-2025,217 D,Lisha Gupta,12,0.6,1.2,13.8,Yes,Yes,Yes,Web,"As we hv moved to F.Y 26, new projects mappings to be done on give list of users. File is attached.",Update new projects ( F.Y 2025-26) on given list of users
506266,06-04-2025,Configuration,Invalid,CR,CompanyOps,No,,06-05-2025,187 D,Lisha Gupta,0,,,,No,No,No,Email,Email Syndication,Email Syndication : Re: PO Balance Report
499220,04-10-2025,Configuration,Resolved,CR,RevOps,No,23-04-2025,05-05-2025,242 D,Dheeraj,0,,,,Yes,Yes,No,Email,Email Syndication,Email Syndication : Re: Billing Report for FY2025
506819,06-10-2025,Configuration,Resolved,CR,CompanyOps,No,29-06-2025,06-11-2025,181 D,Lisha Gupta,0,,,,Yes,Yes,Yes,Web,"Unable to create a new project on Myportal.
Getting ""failed to get ID list"", PFB screenshot.",Project Creation Issue on My portal
500752,22-04-2025,Configuration,Resolved,CR,RevOps,No,14-05-2025,05-06-2025,230 D,Dheeraj,0,,,,Yes,Yes,No,Email,Email Syndication,Email Syndication : Account Creation: State Bank of India RRB
506433,06-05-2025,Configuration,Invalid,CR,CompanyOps,No,,06-09-2025,186 D,Lisha Gupta,0,,,,No,No,No,Email,Email Syndication,Email Syndication : Regarding Updation of Role in MyPortal
502449,05-02-2025,Configuration,Invalid,Incident,CompanyOps,No,05-05-2025,05-06-2025,220 D,Niharika Verma,0,,,,No,No,No,Email,Email Syndication,Email Syndication : You've joined the AADDS-Businessnext group
502455,05-01-2025,Configuration,Invalid,CR,CompanyOps,No,05-05-2025,05-06-2025,221 D,Niharika Verma,0,,,,No,No,No,Email,Email Syndication,Email Syndication : Create Delivery Data Report
502462,05-06-2025,Configuration,Invalid,CR,CompanyOps,No,,05-06-2025,216 D,Niharika Verma,0,,,,No,No,No,Email,Email Syndication,Email Syndication : Re: MyPortal Role
502448,05-03-2025,Configuration,Invalid,CR,CompanyOps,No,05-05-2025,05-06-2025,219 D,Niharika Verma,0,,,,No,No,No,Email,Email Syndication,Email Syndication : Re: Noida Travel
502444,05-05-2025,Configuration,Invalid,CR,CompanyOps,No,05-05-2025,05-06-2025,217 D,Niharika Verma,0,,,,No,No,No,Email,Email Syndication,Email Syndication : Portal login issue
502456,05-06-2025,Configuration,Invalid,CR,CompanyOps,No,05-05-2025,05-06-2025,216 D,Niharika Verma,0,,,,No,No,No,Email,Email Syndication,Email Syndication : Re: Portal - Problems with My Portal Request and Timesheets
502386,05-06-2025,Configuration,Invalid,CR,CompanyOps,No,05-06-2025,05-07-2025,216 D,Niharika Verma,0,,,,No,No,No,Web,"Hi Team,

Please find the attached file and update resource details in MYPortal.

Please note:- All Email Id updated in Attached file",Update resource details in MYPortal - March
502223,05-05-2025,User Creation,Resolved,CR,CompanyOps,No,,05-06-2025,217 D,Deepali Kumari,8,0.4,0.8,9.2,Yes,Yes,Yes,Email,,User Creation
502720,05-08-2025,Configuration,Invalid,CR,CompanyOps,No,05-07-2025,05-08-2025,214 D,Niharika Verma,0,,,,No,No,No,Email,Email Syndication,Email Syndication : Re: Change of Primary Owner for Timesheet Allocation
502782,05-08-2025,Configuration,Invalid,CR,CompanyOps,No,05-11-2025,05-12-2025,214 D,Niharika Verma,0,,,,No,No,No,Email,Email Syndication,Email Syndication : Re: Demo Creation for RoW Opportunity Workflow
503008,05-09-2025,Configuration,Invalid,CR,CompanyOps,No,05-11-2025,05-12-2025,213 D,Niharika Verma,0,,,,No,No,No,Email,Email Syndication,Email Syndication : FW: Script for bug 332157
502542,05-07-2025,Configuration,Invalid,CR,CompanyOps,No,05-06-2025,05-07-2025,215 D,Niharika Verma,0,,,,No,No,No,Email,Email Syndication,Email Syndication : Request to Review Formatting Issue in Post Response Emails
503107,05-12-2025,User Creation,Resolved,CR,CompanyOps,No,,19-05-2025,210 D,Niharika Verma,8,0.4,0.8,9.2,Yes,Yes,Yes,Web,,User Creation
503195,05-12-2025,Configuration,Invalid,CR,CompanyOps,No,14-05-2025,15-05-2025,210 D,Niharika Verma,0,,,,No,No,No,Web,"Create a new report as per the following filters
1. Case created after 27/October/2021
2. created by user - nbo@crmnext.com

if there is already an existing report for the same .kindly provide the rights and name for the same.",Create a new bug report for NBO
503404,14-05-2025,Configuration,Resolved,CR,CompanyOps,No,,15-05-2025,208 D,Niharika Verma,6,0.3,0.6,6.9,Yes,Yes,Yes,Web,"Kindly reset the password for below mentioned email id. Customer is unable to raise requirement/case on portal.
Email ID : mukesh.kumar6@pnbmetlife.com",Password Reset for Customer Id
504117,19-05-2025,User Creation,Resolved,CR,CompanyOps,No,,13-06-2025,203 D,Lisha Gupta,8,0.4,0.8,9.2,Yes,Yes,Yes,Web,,User Creation
503198,05-12-2025,Configuration,Resolved,CR,CompanyOps,No,,14-05-2025,210 D,Niharika Verma,6,0.3,0.6,6.9,Yes,Yes,Yes,Web,"Hi Team,

Please deactivate below user id in MY Portal.

EC1187	Samriddhi Atray - samriddhi.atray@businessnext.com",User deactivate
490355,18-01-2025,Configuration,Invalid,CR,CompanyOps,No,20-01-2025,21-01-2025,324 D,,0,,,,No,No,No,,Email Syndication,Email Syndication : Re: Case ID 475240 to be closed ASAP.|| REQUEST FOR APPROVAL FOR CHANGES IN PORTAL||
500677,22-04-2025,User Creation,Resolved,CR,CompanyOps,No,,05-02-2025,230 D,Deepali Kumari,8,0.4,0.8,9.2,Yes,Yes,Yes,Email,Myportal credentials for new joiners - Rahul Jaiswal,Myportal credentials for new joiners - Rahul Jaiswal
501908,05-02-2025,Configuration,Invalid,CR,CompanyOps,No,05-04-2025,05-05-2025,220 D,Niharika Verma,0,,,,No,No,No,Web,"Please find below steps 
1. Login and go to 'Timesheet' object
2. Click on 'Weekly Timesheet'
3. In any sheet add details

For 'Project Engagement Role' field, there is no LOVs available.

Scrrnshot also attached.",Unable save Timesheet
501299,28-04-2025,,Resolved,CR,CompanyOps,No,,05-02-2025,224 D,Niharika Verma,8,0.4,0.8,9.2,Yes,Yes,Yes,Web,"Kindly create a New User. Please refer the below details:- 
Customer Name/Account Name: Bank Negara Indonesia
Account ID: 00015968
User Name:  Wiratri
Login ID: Wiratri@bni.co.id
Email: Wiratri@bni.co.id
Project ID - 00014228
Project Name - Bank BNI AMC 2025-26

Please let me know over Teams if any inputs required.",Request for User Creation for Bank Negara Indonesia
500963,24-04-2025,Configuration,Resolved,CR,CompanyOps,No,,05-02-2025,228 D,Niharika Verma,6,0.3,0.6,6.9,Yes,Yes,Yes,Web,"Project Manager Role to be allocated to Suraj Bhatt in My Portal.

He is an existing employee. We just need to provide PM role in My Portal for him.",Project Manager Role to be provided to Suraj Bhatt - EC2058
502010,05-02-2025,Configuration,Resolved,Incident,CompanyOps,No,22-05-2025,05-07-2025,220 D,Niharika Verma,0,,,,Yes,Yes,Yes,Web,"After successfully adding resources to the project and specifying their Start Date, End Date, and Role, we are encountering an issue where the assigned resources are unable to fill out their timesheets.

Please investigate and resolve the issue preventing these users from accessing or submitting their timesheets.

Let me know if any additional information is needed. (PROJECT ID 6074)",Resources Unable to Fill Timesheet After Being Added to Project
501381,28-04-2025,User Creation,Resolved,CR,CompanyOps,No,,05-02-2025,224 D,Niharika Verma,8,0.4,0.8,9.2,Yes,Yes,Yes,Web,,User Creation
506730,06-09-2025,Configuration,Resolved,CR,CompanyOps,No,30-06-2025,17-06-2025,182 D,Anubhav Gupta,8,0.4,0.8,9.2,Yes,Yes,Yes,Email,Email Syndication,Email Syndication : RE: O BEE Feedback PO
506256,06-04-2025,Configuration,Invalid,CR,CompanyOps,No,29-06-2025,06-10-2025,187 D,Anubhav Gupta,0,,,,No,No,No,Email,Email Syndication,Email Syndication : RE: O BEE Feedback PO
506739,06-09-2025,User Creation,Resolved,CR,CompanyOps,No,,13-06-2025,182 D,Lisha Gupta,0,,,,Yes,Yes,Yes,Web,Myportal user creation for the new joiner - Sachin Sakharam Kadam,Myportal user creation for the new joiner - Sachin Sakharam Kadam
506754,06-09-2025,Configuration,Invalid,CR,RevOps,No,,06-10-2025,182 D,Dheeraj,0,,,,No,No,No,Email,Email Syndication,Email Syndication : Re: O BEE Feedback PO
506282,06-04-2025,Configuration,Invalid,CR,CompanyOps,No,29-06-2025,06-10-2025,187 D,Anubhav Gupta,0,,,,No,No,No,Email,Email Syndication,Email Syndication : Re: O BEE Feedback PO
506183,06-04-2025,Configuration,Resolved,CR,CompanyOps,No,,13-06-2025,187 D,Lisha Gupta,174,8.7,17.4,200.1,Yes,Yes,Yes,Web,"I've attached sample impacted incident number for SMART category:00497312,00501505
I've already shared the list of priority details on the basis of sub-category and sub-subcategory on mail. Please connect with niharika verma for updated list",Smart Account incident priorities are not being set to the correct value.
506699,06-09-2025,Configuration,Invalid,CR,,,,06-11-2025,182 D,Lisha Gupta,0,,,,No,No,No,Web,"Existing Project Name : Bagic - RFT  APR24-Mar25

Project Name to be updated : KLI RFT Parent Project","Change Project name in  WUD ""00111686""."
506066,06-03-2025,Configuration,Invalid,CR,CompanyOps,No,22-06-2025,06-11-2025,188 D,Prachi Naktode,0,,,,No,No,No,Web,Travel Desk | Account name - State Bank of India and Project name - SBI Cloud Migration-2025 are not getting populated.,Travel Desk | Account name - State Bank of India and Project name - SBI Cloud Migration-2025 are not getting populated.
502447,05-05-2025,Configuration,Resolved,CR,RevOps,No,,06-12-2025,217 D,Dheeraj,0,,,,Yes,Yes,No,Email,Email Syndication,Email Syndication : RE: US Billing_May'25
506227,06-04-2025,Configuration,Invalid,CR,RevOps,Yes,29-06-2025,06-10-2025,187 D,Dheeraj,0,,,,No,No,No,Email,Email Syndication,Email Syndication : Re: RHB Opportunity TCV update
506095,06-03-2025,Configuration,Invalid,CR,CompanyOps,No,06-04-2025,06-05-2025,188 D,Lisha Gupta,0,,,,No,No,No,Email,Email Syndication,Email Syndication : Re: A new Case (ID: 503734) has been logged by Dylan P. Shiffer
506364,06-05-2025,Configuration,Invalid,CR,CompanyOps,No,,06-09-2025,186 D,Lisha Gupta,0,,,,No,No,No,Email,Email Syndication,Email Syndication : Add Comments field to WSR
506494,06-06-2025,Configuration,Invalid,CR,CompanyOps,No,,06-09-2025,185 D,Lisha Gupta,0,,,,No,No,No,Email,Email Syndication,Email Syndication : Re: Add Comments field to WSR
